I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality in free text."
Agree,Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,"Your answer should include buzzwords such as extroverted, energetic, and confident. ""I would describe my personality as approachable, light-hearted, and positive. I believe that, if asked, my colleagues and supervisor would say the same about me."" ""I am quite, focused, and determined.Personality is made up of the characteristic patterns of thought, emotion and behaviour that make a person unique.

It is an integral component of your whole identity.

Your personality affects how you react to situations and behave in social settings and work environments.

It is not an easy question for everyone – sometimes we take some time to consider the question or maybe we need to discuss it with a close, constructive friend."
Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,I'm an introvert. I hate small talk.. I find it hard to keep going. I would much rather speak of things or ideas. I really don't care that much what happens to people other than myself or my husband. I care more about animals I don't know than people I don't know or most that I do know. I don't have much of an imagination and I think in thoughts only.. there are no pictures in my mind. I'm very analytical. I'm quiet and don't like to draw attention to myself out in public.
Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,"I like people and think the best times are times shared with other people. I'm interested in a lot of things, but I don't have a lot of patience for those things I'm not interested in. I sometimes spend money too freely. I like spending time alone, as well. I like figuring things out and like to think analytically. I like eating out and enjoy exploring different cuisines - although I also like to cook myself, very much."
Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,"I am very simple girl who loves her family very much.My some of the friends and my attached one are my life... In my life there is so many important persons but few are so important without whom a single day is very difficult.... Such persons in my life are my mom, dad and my best brother"
Neutral,Strongly Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,i am soft hearted person and if i see someone needs help i didn't think twice and help that person without any payback . I have a sweet family and when i come home after office i see there smiling faces which energize me and forget all stress. i neither wants to be center of attention nor like orders. But to earn money i need to follow orders from my boss. i am talkative person and at party i talk to lot of people. I like to have my place clean and make sure all things are kept properly..
Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,"I am quiet and reserved when you first meet me, but I will not stop talking after you get to know me. I like to be goofy and find fun and humor everywhere I go. I like to crack jokes and use humor to make the day just a little brighter. I am really into technology and gaming. Technology is a big part of who I am as a person, and it comes up a lot throughout my daily life."
Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,"My pros are Strange, lazy hard worker, critical, analytical, determined and loyal to people that matter to me. While, my cons are too honest, I can’t really connect with people and if I stay in a concerning place with concerning people I can’t hold it, I have to go (I can force myself to stay if I really need it for my future), I realize what’s happening a little bit too late and I’m seen as cold. Anyway my favor trait is surely that I can find in everything new similar patterns and go deeper, this allows me to arrive at hidden conclusions and to predict future in films but sometimes also in reality."
Neutral,Neutral,Neutral,Strongly Agree,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,"Someone that is grounded. Humble and have a very good sense of humor. Try to do the right thing, whether it popular or not. Enjoy being with other people, due to having an extroverted personality. Try to go out and be in nature, if I can oppose to staying indoors. Is usually playful and lighthearted when it comes to other people. Try to go out on the beat of his drum oppose to following the crowd."
Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,"I consider my personality to be split into two categories. Professionally I'm confident and greatly enjoy networking. I'm willing to go out there and talk to whoever I need to to get the job done. Out of work I'm an introvert. I have a small, but amazing, circle but I'm incredibly shy out of it. I'd love to see these two competing personalities merge but I also like taking off my work stress at the end of the day and not worry about whatever would normally drive me."
Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,"I like to have fun.  I like to laugh.  I find that laughing at just about anything and everything makes me feel better about myself and all of my medical problems.  I try not to pay attention to the bad things that are going in the world today because it only upsets me and makes me sad.  Honestly, there isn't really anything that I can personally do about it; so why should I be worried?  I would rather be oblivious to it all than to try to make sense of it.  I guess you could say I'm carefree."
Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Disagree,Neutral,"I tend to be quiet most of the time. I have a few friends that I interact with, but most of the time I just keep to myself. I like to read, and I normally have some ideas for a given situation, but seeing as I like to do things on my own, I tend to keep to myself unless asked. I don't really go to parties or social events, though a quiet time with friends at the pub is nice. I am content to just do my own thing and not worry about others. "
Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,"I am someone who likes structure and order to the point that I cannot tolerate being around messy people. I am shy and it takes a while for me to warm up to people which often makes people think that I am snobbish but once I am comfortable around someone I am very open and friendly  I often say things without thinking about what they sound like so people who do not know me well can be offended . I have an offbeat sense of humor which very few people get I am not very trusting of people until I know them well. I have a strong sense of loyalty, have very many creative interests ,open minded and logical."
Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,"I'm disabled, but I try not to let that stop me as much as that is possible. I try to stay independent, or at least as much as I can be, while limited to a powerchair. I also try to have a sense of humor because I think you need to be able to laugh at yourself and often crack jokes at my own expense."
Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,"I really enjoy talking to people, and I talk a lot. But I don't like to be the center of attention. I will talk all day about my life and my ideas, and find out about the other person I am conversing with through conversation, but if you were to ask me to give a speech on a stage I would totally freak and freeze up. I am better in small groups. I am an anxious person, I worry too much but I can't seem to stop it. I am the type of person who will check three times that the door is locked before I go to bed, and I will worry about bills that I have paid until I see the credit on the account. I am easy going, and soft-hearted. I probably get taken advantage because of that once in awhile. I enjoy people, but if I don't get my alone time, I get weary and anxious. "
Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,"I have a melancholy disposition, which has the two-fold effect of making me rather withdrawn and unavailable to people in my life for periods at a time, but it also gives me the ability to empathize with others (if I'm available to even hear the problem) when they are going through a bad mental health moment. I have a creative mind, which has all sorts of benefits, but sometimes mixed with my melancholy, I easily imagine the worst and am often paralyzed to inaction by imagining worst-case scenarios for upcoming situations. I find it difficult to trust others, and while I can be friendly, I tend to set up boundaries between myself and most others.  "
Disagree,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,"I am a sensitive soul. I can handle physical pain very well, but not emotional pain. I get emotional if I see other people crying, even in movies. I love to be around certain family members and friends that are close to me and that get me. Other than that, I don't have a desire to socialize much. I feel most fulfilled when I am helping someone that I care about. I get annoyed by people who are overly sarcastic and/or exaggerative. I takes me a while to truly trust others and if you break my trust, it will never be the same. I strive to be respectful and thoughtful of everyone around me and I try not to judge others for their own personal decisions. I love nature and and hiking and my motto is to leave things better than when you came."
Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,"I think that I'm kind hearted (although soft), energetic, and very outgoing. I love people, but I like to recharge by myself! I am a bit disorganized and careless, but I do like to follow a schedule and I don't really like the unknown. I think I'm pretty funny. I am 'laid back' in some ways (again, a bit disorganized, willing to hop on a new adventure, etc) but not so much in other ways (I get really nervous and I do overthink a ton)."
Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Agree,"I am honest and loyal, always determined and strong willed.  I am generally positive and feel happy most of the time."
Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Neutral,"I am a pessimistic person. If I were a Winnie the Pooh character, I would be Eeyore. If I were one of the emotions in Inside Out, I would be Sadness. Despite being pessimistic, I do have a sense of humor and love to laugh whenever the opportunity presents itself. I am always quite cynical, jaded and sarcastic. I wish I were a happier person, but alas I am not."
Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,I am more of an extrovert than introvert. I can easily start conversations with people and enjoy talking and the company of others. I have a half full vs. half empty mentality and like to focus on positive vs. negative. I am proactive with everything. I value others opinions and consider everything before making a decision. Always open to seeing the other side. I'm kind to pretty much everyone. I'm pretty trusting by nature and can be trusted. I value honesty and am an honest person. I own up to my mistakes.
Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,"I am mostly relaxed. I worry quite a bit about different things. If one major problem gets solved I don't really have very long before some other overarching worry will creep in. I like my work and I spend quite a lot of my life traveling overseas. I go for the people and not the sites when I travel. I have a lot of close friends, but also really like to spend time alone. I like reading and hobbies that aren't related to my work of violin making. So cycling and hiking. Not woodworking."
Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,"I am the type of person that likes to keep to myself and am an introvert. I don't mind being alone and love to be in my own head. I have a great imagination and am creative. When I am out, I stay in the background and keep to myself. I am nice and kind with others, but like to keep my distance from everyone. I am a person that is creative, reserved, helpful, kind among other characteristics."
Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,I feel my personality is very calm and easy going. I find myself being somebody who likes to take time out for other people and help people solve problems with no money from me. I like to spend my time improving the lives of others and myself. It is something I tend to lean towards to make sure that the world is better than I found it. I continue to ensure that people are on a good path before I leave them or just ask them if they have it from that point on.
Strongly Disagree,Strongly Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Neutral,"I'm an introvert and tend to keep to myself, but am nice and getting along with people pretty well. I don't let things bother me or worry very much. "
Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Agree,"I would say that I'm honest and sincere with my friends and family. I am also very protective of the people I love. Overall, I am guarded and a bit aloof when I am in the accompany of unfamiliar people. I don't talk often to those I don't know. I am not really into small talk but I don't consider myself rude or anything. I am compassionate and kind to my friends and family, and I can easily emphatize with people outside of my circle of friends. "
Disagree,Strongly Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,"My personality is one with deep sensitivities and nuances. I'm highly empathetic and compassionate, and I tend to feel things very deeply. I'm also very introverted and shy, so it takes some time for me to open up to people. I enjoy reading, listening to music, and gaming, and getting lost in my own internal world is a great comfort to me. I have only a few very close friends, but I trust those people implicitly. I love very deeply, and I get my heart broken easily. I'm research-oriented and I like to plan, and in order to help ease my anxiety, I dislike surprises and always prefer to know what's in store. My personality is unique to me, and it shapes how I see the world. "
Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,"I think the biggest aspect of my personality  is the fact that I'm shy. I've been shy all my life, even though I keep hoping I'll outgrow it. Being shy gives me a lot of social anxiety around others. It always takes a little bit for me to be comfortable around others. I have a hard time starting conversations. I think that I have a good sense of humor. I love to laugh and people who make me laugh are my favorite. I think I am a kind, honest person who cares about others."
Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,IM someone that is quiet and shy. I am a pessimist that is just waiting to die. I cant stand living life but try to help everyone I can and make their lives easier but I really hope it all ends soon. I have missed out on most of life and dont want to live any more of it
Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Agree,I am generally very quiet because i like to plan my words so that i don't feel a fill later but i am i interested in socializing more than most with this disposition. While not so much of a scientific thinker i am very well read so my vocabulary isn't Tribble.
Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,"
I find my personality to be ambitious person.  Sometimes I get sidetracked during days that my energy is low but I am always self aware and conscious to always improve and be better.  I hold myself accountable."
Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,"I feel like I have a friendly, inquisitive nature. I tend to get along with almost everyone I meet. I also love to learn things and give ideas that may contribute to others. Sometimes I do this when it is not needed, though, and it may rub people the wrong way. But, I am just trying to help as that is what I want to do for others. I just want to help others as I would expect for them to help me if I thought I needed it."
