I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality as it relates to the 5 personality traits outlined above. Be sure not to use the name of the personality traits themselves in your response."
Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Strongly Agree,"There is one thing I do that still amazes myself! I love talking with people out of the blue. Being a culture junkie, I pick up on accents quickly and will try and get a conversation going while waiting in line at the grocery store. Last week, I met the sweetest Afghani man and his wife while we were pawing through Costco’s raspberries. Willing to chat, he had tears in his eyes as he explained how he loved this country, that he would serve if he were younger, and how grateful he was to God that he awakes to freedom every morning. That, folks, is a patriot!!

Because of this ability to speak to anyone, I have held babies in China, signed autographs to giggly Japanese school girls at Hiroshima Peace Park, talked with Muslims in Turkey, Tunisia, chatted with Israeli women at the Wailing Wall, was driven at top speed in a golf cart through Sea-Tac airport by two Ethiopian drivers after I told them that Ethiopians were the most handsome men in Africa. We all were laughing the entire way to the baggage claim, onlookers were bemused.

My life is an open book. All the people I’ve met around the world, and at home also, have made my 78 years on earth so unbelievably rich! I realize that people may be more reticent to communicate with people they don’t know, and that’s okay. When traveling to foreign countries, I try to learn a few phrases in their language. It is so appreciated. Please and thank you are two words we can use in our own country to people who serve us every day. Manners seem to be going the way of the dinosaurs.

My husband, of almost sixty years, is among the reticent but he tells me that he listens to these random conversations and is amused, yet grateful, to let me do all the talking!"
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,"I don't really think of myself as an extrovert at all, I dislike socilizing with people. I do think I try to be agreeable with other people, but i don't push myself to change to much. I always value being honest and work hard for things. I don't think i'm very emotional when it comes to stress. I see myself as open to experiences, but I've also already experienced a lot in life. "
Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,"While I am not a very social person I do like to explore things, what is going on in the world and like to try new things. I am also easily satisfied with routine. I like to keep to myself and usually am found with the same small group of people.

I can be brutally honest but try to be respectful. Not much into lying and seek truth. While I tend to typically follow rules it is mostly the ones that are logical and would cause harm to others if not followed. 

My home is neat and clean and I feel everything needs to have a place. Rarely late for work and respect others time. Normally I do not get moody or easily stressed, though I do tend to get depressed. I am somewhat reserved and try to be mindful.

I am not very creative but do have moments of creativity. I tend to be more down to earth and grounded. "
Strongly Disagree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,I am not a social person. I am not a person of party or gatherings. If a situation in which it is very necessary then I will be there and not mingle with strangers. I just talk to my friends and come out. I don't love to be the center of attention. But I am softhearted and handle stress well. I am always a cool person and did not get a quick temper. Other's misfortune really bothers me and I feel anxious for them. I am a very emotional person a little thing like movies will make to feel very emotional. I will not follow orders and not put my things back in the place. I finish what I start. I forget things frequently. If in a group all the decisions are the same and then I will accept it and not get into conversation with them.
Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,I was an easy and outgoing person. Usually will avoid arguments with the others. Will always prefer to do work with the team members and also participate in social activities and works. If the work was assigned to myself then will do that work with the utmost sincerity and work hard to thrive in the work. Always actively participate in all activities to gather personal experiences.
Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Neutral,I am not an outspoken person.  Usually I am always at backstage but if it is necessary I have the capacity to come forward to tackle a situation. Usually I will not express my dislike to others even if I cannot agree with their point of views.  
Disagree,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,"To be honest, I'm a blend of all traits but not in the extreme sense. I'm an introvert if I don't know you or I am in a situation I'm not used to. If I know you, I tend to very social. I try to see all points of view without being combative. Even if I don't agree with the situation, thought, or person, I try to act in a manner that doesn't make me a pushover.  I'm who I am at all times and don't change to fit a particular scenario or to please certain people.  I also strive to be honest and hardworking. Even if the hardwork doesn't benefit me. I handle stress well. I find better outlets to deal with stress.  I'm open to experience new things, I embrace it. However, I'm a person with limits and won't do anything where there is a high degree of risk or harm. "
Disagree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Agree,I am a self-driven person who prefers working on my own or in a small group. I do not really like big crowds or work environments where there are many people working on a single project. I thrive in small communities where I get to know people on a personal level and we vibe off each others energy. I love to feel invested in other people as human beings and take time to get to know them at a personal level. I feel I am a fairly steady person emotionally. I used to be quite volatile but much calmer as I have gotten older.
Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,I can say that I am completely extrovert. I like to socialize with people and meet new people and discuss about opportunities. I like to adjust with other people and agree about their attitudes and behaviors. I like to be in harmony with other people. I am a very honest and hardworking person. I like to do my work with complete effort and put my entire effort inn my work. At the same time I am a very emotional person. I get carried away by emotions very much fast. I am also very much open to new experiences. I am down to earth person and love simplicity.
Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,"Overall, I agree wit the first two qualities.  I've taken the Myer's Briggs test before and have been listed as an extrovert before.  I also try to be conscientiousness.  I am known as being honest and hardworking.   I like things clean.  I am not really known as being emotional.  I also do well under stress.  Cops I work with have even told me this.  

I am open to new experiences.  I can be creative, but I need to be in that mode. "
Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,"I have very low levels of extroversion because I almost never talk to people and hate when people tall to me. I'm pretty agreeable just so I can avoid arguments which would lead to more talking to people. I hate new experiences or deviating from the norm, so I am not open to experience at all. I can be pretty neurotic, though, and change my mood pretty frequently."
Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Basically I am an Introvert. But I really Exacting in my work. I always believe in faith. So I don't like to adjust behavior when some bad things happens. I disagree with them. Of course sometimes i also takes thing feel emotionally. but I never give any threatening speech or messages. I tried to explain the situation politely.
Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,"I am a industrious, confident individual who is sensitive to other's feelings. I do not wait for things to happen to me, on the other hand I go out and do my best to influence events to my satisfaction. I do this in a spirit of accommodation so that no one harbors any ill feelings towards me. This facet of my personality helps me in maintaining equanimity in my personal relationships and have a well rounded personality. I am sure that these aspects of my personality has a positive correlation with my health also."
Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,"I don't think I get very much pleasure from outside my self. Other people are nice and all but I prefer my own company. Likewise, I'm not too into adjusting my behavior for others. I'm not particularly emotional in general. I do however think I'm a pretty honest and hardworking. I am also open to new things. I very much enjoy seeing, hearing, and experiencing new things. I would say things like that are probably my favorite parts of life, generally."
Neutral,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Neutral,I tend to be comfortable around other people and enjoy meeting new people. It takes a lot to get me upset or angry. I try find empathy when talking to others and look for commonalities. I like to go to new places but aren't always comfortable right off the bat. And I always look out for those that I am around. I pay attention to detail and have an easy time recognizing how those around me are feeling. I am definitely my brother's keeper when with a friend.  
Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,"I feel I have a good heart and want to be helpful to anyone who asks. I am now fearless and see myself as a whole person today. I have matured and left my childhood fears and angers behind and out grown that.

I like that I am connected to a God who loves me no matter what trauma and abuse I have gone through. The unconditional love of the universe supports me in all things.

I am smart. Not a genius or anything like that, but enough brains to offset my flaws and have a good quality life and career with a reasonable effort. I guess I am actually really pretty smart.

I am a volunteer. I give way too much of my time to volunteer activities, especially in and about the sport of figure skating. Keeping myself busy keeps me from ingesting about my flaws."
Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,"I will expect fulfillment in my all duties and work, I do not like to stop any work in-between times. I will adjust and manage the colleague and supervisor's behavior. I feel that high level people want to behave quite softly to low-level people. Honesty and hardworks are more important than anything else. Hard work and honesty will bring more success in life. I do not like to get stressed always, I want to be soft and behave politely. Always I am open to new experiences and also seeking adventures. The higher level people want to help the low-level people to become creative and curious. I will always help other when they need helps really. "
Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,"I Having a penchant for adventure and new experiences. with a high degree of openness to experience love stepping out of their comfort zone and embracing new opportunities. Nonconforming and spontaneous, they love a challenge and thrive in the sense of thrill and excitement they get out of taking risks and venturing into the unknown. They dislike being bound by routine.

 "
Disagree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,"""I am energized, focused and motivated to do my best. I always take the high road and treat my leaders, colleagues, and team with respect. I  always cooperative, polite, kind, and friendly, more trusting, affectionate, altruistic, and generally displaying more prosocial behaviors than others. I scheduled my life structures and tend to maintain that. I am consistently feeling Irritable. I am open-minded and accepting of new notions and experiences."
Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Disagree,Agree,"I would consider myself to have a low level of extroversion, preferring to be by myself and being quite content to be alone with my thoughts or in silence. Being around others can sometimes get exhausting. Still, I believe I have a high level of agreeableness and am able to be polite and make friends easily. I consider myself to be very conscientious and hardworking. I am not very emotional at all, and I believe I can easily keep my anxieties in check to stabilize my actions and moods. I do love to experience new things and I enjoy learning very much. I think of myself as a creative, and I love making music and art in my spare time."
Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,I am a person that is shy and introverted until you get to know me.  I have always been that way.  Need to be around someone one on one to reallly get a bond . But when that hapens it is a very strong bond.  I have had the same best friend for 30 plus years and also married for 17 years.  It is strong when it happens. I also am very much agreeable if the issues is correct and not something I do not blieve in or unethical.  I am not that emotoinal to most people but do that when I am around people I am close to.  can be suprsingly moody.  People are shocked that do not see this if it slips out during something. I love to try new things even though I am shy.  I have to be made to do things some time but once i do I am very happy Id did it.  Trying to force myself now to do more things.  I did not do that in my 30's and refuse to allow my 40's to pass by without having fun or being happy. 
Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,I am a skinny and lonely person. I don't have a lot of friends. I tend to avoid people. I shop online often so that I can avoid interacting with a real person. I have low energy levels and become tired easily. So I don't have a full time job. I have been working at home for the past 10 years. I get frequent mood swings and I take multivitamins to counter the problem. I am a very curious person and I am often fascinated by the universe. I day dream a lot and this affects my work. I am not a very materialistic person. 
Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,"I am a person who always completes assigned tasks in a specific time even on short notice, have a tendency to adjust according to requirements, an emotional person always sympathetic to others feelings, emotions. I always try to learn from my mistakes and experiment different things to gain knowledge. I am quite straightforward in my views and always express my opinions openly weather the opponent agrees or disagrees. According to me honesty and hard work always pays off and whenever I perform a task  will give my best efforts to it."
Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,"I would say that I am more likely to want to be alone or with people I am already familiar with. I do not like to have to make new friendships. I am polite and do not like to get into arguments. I will avoid confrontation with people I do not know well. I am honest and hardworking and exacting in the work that I do. I like rules and will follow them religiously. I am very emotional and will wear my emotions on my sleeve. I like new experiences but not ones that push me completely out of my comfort zone, there has to be some familiarity. "
Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,"I am a moderately extroverted person. I consider myself somewhat of an ambivert, in that I do need time to ""recharge"" and be alone in order to truly relax, but I am comfortable with and enjoy being part of groups and crowds. I consider myself a leader in my personal and professional lives, and one of the ways I try to lead is by example - I try to be a kind and considerate person in my daily life. I tend to appear unemotional but in truth I control my emotions by not expressing them without reason. I try to accept emotions and be aware of them without being controlled by them."
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,I find my self much more introverted and would consider myself shy and not outgoing at all. I do have a tend to lean towards being more agreeable and will bend to suit others in situations to avoid confrontation or conflict. I think I have a high level of conscientiousness because I have a tendency to follow rules to a T and prefer clean areas and I am a very honest person.  I think I have a moderate level of neuroticism because of my anxiety in many situations and in my daily life. I have a low level of openness to experience because I am much more down to earth and go with the flow. 
Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,"It is hard to describe my personality because my thoughts about myself can change day to day. Today, I feel like I am a generally nice and pleasant person. I am not an extremely social person, as I only have a select few friends in my circle that understand me. My mood seems to go up and down frequently. I can be pretty content one minute and then anxious and upset the next minute. I like to keep to myself for the most part, because being too social for too long makes me feel drained and tired. I definitely am a people-pleaser. I don't like to start drama or confrontations, so I usually go along with whatever my friend's or family want to do. I am not daring nor thrill-seeking person. I pretty much do the same things day to day because change freaks me out sometimes.  "
Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,"I am mostly an outgoing. I enjoy people and being around people. My idea of fun practically requires other people. But I also enjoy quiet times alone. I mostly go along, although I will tell someone when they're wrong. I'm pretty aware of what I'm doing, but will let the little things slide. I can be a bit nuts, but no more than most. And I'm very eager for new experiences."
